15/12/2021,14:46:16,Manzana123_,2,2
15/12/2021,14:47:54,Manzana123_,2,2
15/12/2021,14:47:54,Manzana123_,2,2
15/12/2021,14:47:54,Manzana123_,2,2
15/12/2021,16:15:24,Banana123_,2,2
15/12/2021,16:15:24,Banana123_,2,2
15/12/2021,16:15:24,Manzana123_,0,0
15/12/2021,16:16:57,Manzana123_,2,2
15/12/2021,16:16:57,Banana123_,2,2
15/12/2021,16:16:57,Manzana123_,0,0
15/12/2021,16:23:34,Banana123_,2,2
15/12/2021,16:23:34,Manzana123_,2,2
15/12/2021,16:23:34,Banana123_,0,0
15/12/2021,16:30:25,Manzana123_,2,2
15/12/2021,16:30:25,Manzana123_,2,2
15/12/2021,16:30:25,Banana123_,0,0
15/12/2021,16:33:09,Manzana123_,2,2
15/12/2021,16:33:09,Manzana123_,2,2
15/12/2021,16:33:09,Banana123_,0,0
